id,question
1,Quel est le plus long fleuve de France ?
2,Quelle est la capitale de l'Italie ?
3,En quelle année a eu lieu la Révolution française ?
4,Qui a écrit Le Petit Prince ?
5,Quel est l'organe principal de la respiration chez l'homme ?
6,Combien de continents y a-t-il sur Terre ?
7,Quel est le symbole chimique de l'eau ?
8,Quelle est la planète la plus proche du Soleil ?
9,Qui a peint la Joconde ?
10,Qui a écrit Les Misérables ?
11,Quelle est la monnaie utilisée en France aujourd'hui ?
12,Quel est le plus grand océan du monde ?
13,Qu'est-ce qu'un adjectif en grammaire ?
14,Combien de joueurs y a-t-il dans une équipe de football sur le terrain ?
15,Quel scientifique a formulé la loi de la gravitation universelle ?
16,Quelle est la langue officielle du Brésil ?
17,Quel est le principal gaz responsable de l'effet de serre ?
18,Quel titre Napoléon a-t-il pris en 1804 ?
19,Quel instrument mesure la température ?
20,Quel pays est connu pour avoir construit la Grande Muraille ?
21,Quel est le symbole chimique de l'or ?
22,Qui est l'auteur traditionnel de L'Odyssée ?
23,Quel est le carré de 12 ?
24,Quelle est la capitale de l'Allemagne ?
25,Quel est le rôle principal du Parlement en France ?
26,Qu'est-ce qu'un écosystème ?
27,Quel gaz les plantes produisent-elles pendant la photosynthèse ?
28,Qui a introduit l'imprimerie à caractères mobiles en Europe ?
29,Quel est l'organe central du système circulatoire ?
30,Quel événement est commémoré le 11 novembre en France ?
